Description,Vendor's Item #,PO #,PO Date,Invoice #,Invoice Date,PO Vendor,Ship To,Item Style,Item Attribute,PO Line Unit,ORDER_QTY,ORDER_QTY,Outstanding QTY,Item #
CALI #1,,100018,,734390,3/21/16,BOYANG,BSW7,CALI,#1,16.95,1,1,0,885160012496
CALI #4,,100018,,734390,3/21/16,BOYANG,BSW7,CALI,#4,16.95,1,1,0,885160012540
CHILLI #1,,100018,,734390,3/21/16,BOYANG,BSW7,CHILLI,#1,16.95,2,2,0,842045009446
CHILLI #2,,100018,,734390,3/21/16,BOYANG,BSW7,CHILLI,#2,16.95,2,2,0,842045009460
EBIS #1,,100018,,734390,3/21/16,BOYANG,BSW7,EBIS,#1,16.95,1,1,0,885160062262
EBIS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,EBIS,#1B,16.95,1,1,0,885160062279
EBIS #2,,100018,,734390,3/21/16,BOYANG,BSW7,EBIS,#2,16.95,1,1,0,885160062286
EBIS #4,,100018,,734390,3/21/16,BOYANG,BSW7,EBIS,#4,16.95,1,1,0,885160062293
HB LIBBY #1,,100018,,734390,3/21/16,BOYANG,BSW7,HB LIBBY,#1,18.75,1,1,0,885160065935
HB LIBBY #SP430,,100018,,734390,3/21/16,BOYANG,BSW7,HB LIBBY,#SP430,18.75,1,1,0,885160066048
KELDA #1,,100018,,734390,3/21/16,BOYANG,BSW7,KELDA,#1,14.95,1,1,0,885160101886
KELDA #2,,100018,,734390,3/21/16,BOYANG,BSW7,KELDA,#2,14.95,2,0,2,885160101909
KOBY #1,,100018,,734390,3/21/16,BOYANG,BSW7,KOBY,#1,19.5,2,2,0,842045070255
KOBY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,KOBY,#1B,19.5,1,1,0,842045070262
KOBY #2,,100018,,734390,3/21/16,BOYANG,BSW7,KOBY,#2,19.5,1,1,0,842045070279
KOBY #4,,100018,,734390,3/21/16,BOYANG,BSW7,KOBY,#4,19.5,1,1,0,842045070286
LA ALEKA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA ALEKA,#1B,11.75,2,2,0,885160063597
LA AVOLA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA AVOLA,#1,11.95,2,2,0,885160086824
LA AVOLA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA AVOLA,#1B,11.95,1,1,0,885160086831
LA AVOLA #SP430,,100018,,734390,3/21/16,BOYANG,BSW7,LA AVOLA,#SP430,11.95,1,1,0,885160086947
LA CLOIE #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA CLOIE,#1,12.25,2,2,0,842045088618
LA CLOIE #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA CLOIE,#1B,12.25,1,1,0,842045088625
LA CLOIE #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA CLOIE,#2,12.25,1,1,0,842045088632
LA DARA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA DARA,#1,11.75,3,3,0,842045018448
LA DARA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA DARA,#1B,11.75,1,1,0,842045018455
LA DARA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA DARA,#2,11.75,1,1,0,842045018462
LA DARA #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA DARA,#4,11.75,1,1,0,842045018479
LA DEKA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA DEKA,#1B,11.95,2,2,0,842045027921
LA DEKA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA DEKA,#2,11.95,2,2,0,842045027938
LA DEKA #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA DEKA,#4,11.95,2,2,0,842045027945
LA EDINA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA EDINA,#1,12.25,3,3,0,842045018905
LA EDINA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA EDINA,#1B,12.25,2,2,0,842045018912
LA EDINA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA EDINA,#2,12.25,2,2,0,842045018929
LA EDINA #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA EDINA,#4,12.25,1,1,0,842045018936
LA FASTA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA FASTA,#1,11.75,2,2,0,842045082012
LA FASTA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA FASTA,#2,11.75,1,1,0,842045082036
LA FASTA #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LA FASTA,#SP1B/30,11.75,1,1,0,842045082104
LA FIONA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA FIONA,#1,11.75,1,1,0,842045087376
LA FIONA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA FIONA,#1B,11.75,1,1,0,842045087383
LA FIONA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA FIONA,#2,11.75,2,2,0,842045087390
LA FIONA #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA FIONA,#4,11.75,1,1,0,842045087406
LA FRISCO #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA FRISCO,#1,11.75,1,1,0,842045071085
LA FRISCO #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA FRISCO,#1B,11.75,1,1,0,842045071092
LA FRISCO #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA FRISCO,#2,11.75,1,1,0,842045071108
LA FRISCO #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA FRISCO,#4,11.75,1,1,0,842045071115
LA KAPPY #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA KAPPY,#1,11.75,2,2,0,842045082937
LA KAPPY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA KAPPY,#1B,11.75,2,2,0,842045082944
LA KAPPY #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA KAPPY,#2,11.75,2,2,0,842045082951
LA KAPPY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA KAPPY,#4,11.75,1,1,0,842045082968
LA MONTY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA MONTY,#1B,11.75,2,2,0,885160057251
LA MONTY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA MONTY,#4,11.75,1,0,1,885160057275
LA NANCY #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA NANCY,#1,11.75,1,1,0,842045086348
LA PETINA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA PETINA,#1,11.5,1,1,0,885160036799
LA PRESTY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#1B,11.75,1,1,0,842045062274
LA PRESTY #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#2,11.75,1,1,0,842045062281
LA PRESTY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#4,11.75,2,2,0,842045062311
LA PRESTY #SP427,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#SP427,11.75,1,1,0,842045062403
LAS DESPIN #1,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#1,12.95,1,1,0,885160058210
LAS DESPIN #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#1B,12.95,1,1,0,885160058227
LAS DESPIN #2,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#2,12.95,1,1,0,885160058234
LAS DESPIN #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#SP1B/30,12.95,1,1,0,885160058289
LAS ELORAS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS ELORAS,#1B,12.95,2,2,0,885160058357
LAS ELORAS #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS ELORAS,#SP1B/30,12.95,1,1,0,885160058418
LAS FELINY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LAS FELINY,#4,12.95,1,1,0,885160058630
LAS FELINY #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS FELINY,#SP1B/30,12.95,1,1,0,885160058654
LAS RICKY #1,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#1,12.95,1,1,0,885160104450
LAS RICKY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#1B,12.95,1,1,0,885160104467
